medialinkID,gedcom,linktype,personID,eventID,mediaID,altdescription,altnotes,ordernum,dontshow,defphoto
1,Earlylds,I,I1053,,1,,,1,0,
69,Earlylds,I,I2578,,2,,,1,0,
48,Earlylds,I,I24328,,3,,,1,0,
65,Earlylds,I,I29724,,4,,,1,0,
5,Earlylds,I,I59,,5,,,1,0,
74,Earlylds,I,I11851,,6,,,2,0,
7,Earlylds,I,I59,,7,,,2,0,
73,Earlylds,I,I11851,,8,,,1,0,
58,Earlylds,I,I25102,,15,,,1,0,
75,Earlylds,I,I34006,,9,,,1,0,
63,Earlylds,I,I4087,,10,,,1,0,
71,Earlylds,I,I18238,,11,,,1,0,
70,Earlylds,I,I18237,,11,,,1,0,
83,Earlylds,I,I18237,,12,,,2,0,
78,Earlylds,I,I15246,,13,,,1,0,
77,Earlylds,I,I11222,,13,,,1,0,
76,Earlylds,I,I15247,,13,,,1,0,
49,Earlylds,I,I17230,,14,,,1,0,
57,Earlylds,I,I24627,,15,,,1,0,
56,Earlylds,I,I15215,,15,,,1,0,
51,Earlylds,I,I15199,,15,,,1,0,
50,Earlylds,I,I10521,,15,,,1,0,
54,Earlylds,I,I15173,,15,,,1,0,
55,Earlylds,I,I15212,,15,,,1,0,
32,Earlylds,I,I15142,,15,,,1,0,
52,Earlylds,I,I15108,,15,,,1,0,
53,Earlylds,I,I15133,,15,,,1,0,
82,Earlylds,I,I22168,,16,,,1,0,
81,Earlylds,I,I9249,,17,,,1,0,
38,Earlylds,F,F744,,17,,,1,0,
66,Earlylds,I,I15627,,18,,,1,0,
64,Earlylds,I,I19579,,19,,,1,0,
80,Earlylds,I,I26455,,13,,,1,0,
67,Earlylds,I,I8723,,20,,,1,0,
79,Earlylds,I,I15248,,13,,,1,0,
72,Earlylds,I,I3311,,11,,,1,0,
68,Earlylds,I,I8721,,20,,,1,0,
59,Earlylds,I,I26771,,15,,,1,0,
60,Earlylds,I,I3330,,15,,,1,0,
61,Earlylds,I,I4084,,15,,,1,0,
62,Earlylds,F,F3259,,15,,,1,0,
84,Earlylds,I,I25579,,21,,,1,0,
85,Earlylds,I,I24046,,21,,,1,0,
86,Earlylds,F,F15587,,22,,,1,0,
87,Earlylds,I,I1053,,23,,,2,0,
88,Earlylds,I,I2348,,24,,,1,0,
89,Earlylds,I,I2349,,24,,,1,0,
91,Earlylds,I,I22168,,26,,,2,0,
92,Earlylds,F,F14359,,26,,,1,0,
93,Earlylds,F,F2719,,26,,,1,0,
94,Earlylds,F,F14361,,26,,,1,0,
95,Earlylds,F,F14362,,26,,,1,0,
96,Earlylds,F,F14363,,26,,,1,0,
97,Earlylds,F,F14364,,26,,,1,0,
98,Earlylds,F,F14365,,26,,,1,0,
99,Earlylds,I,I30278,BURI,27,,,1,0,
